,input_row,EID,str_row_ion,compounds,input_row.1,m/z,retention_time,p_value,statistic,CompoundID_from_user,compound_name,compound_name_no_colon
22,row98,E31,row98_M+H[1+],C00937;C00424;C05235;C00163,row98,75.044256921978,537.54443359375,0.128605908389811,2.102817742052451,M75.044257T537.5444,Propionate (n-C3:0),Propionate (n-C3:0)
23,row99,E30,row99_M+H[1+],C00937;C00424;C05235;C00163,row99,75.0441991053856,516.541564941406,0.2685347495939643,1.6115318803587315,M75.044199T516.5416_2,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
23,row99,E30,row99_M+H[1+],C00937;C00424;C05235;C00163,row99,75.0441991053856,516.541564941406,0.2685347495939643,1.6115318803587315,M75.044199T516.5416_2,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
23,row99,E30,row99_M+H[1+],C00937;C00424;C05235;C00163,row99,75.0441991053856,516.541564941406,0.2685347495939643,1.6115318803587315,M75.044199T516.5416_2,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
23,row99,E30,row99_M+H[1+],C00937;C00424;C05235;C00163,row99,75.0441991053856,516.541564941406,0.2685347495939643,1.6115318803587315,M75.044199T516.5416_2,Propionate (n-C3:0),Propionate (n-C3:0)
24,row109,E26,row109_M+H[1+],C00037,row109,76.0394556209716,43.8325996398926,0.3901177723110938,-1.304083114023656,M76.039456T43.8326,Glycine,Glycine
25,row110,E28,row110_M+H[1+],C00037,row110,76.0391330994665,504.279724121094,0.5264347014361486,-1.0199151250186944,M76.039133T504.2797,Glycine,Glycine
26,row125,E52,row125_M+H[1+],C01678,row125,78.0370840535139,34.1869239807129,0.6113672108643422,0.8506156384708531,M78.037084T34.1869,Cysteamine; 2-Aminoethanethiol; beta-Aminoethanethiol; beta-Mercaptoethylamine; Mercaptamine; Thioethanolamine,Cysteamine
27,row183,E58,row183_M+Na[1+],C00086,row183,83.0217135718297,62.649040222168,0.4400324940797813,1.2003506098128431,M83.021714T62.649,Urea,Urea
28,row184,E57,row184_M+Na[1+],C00086,row184,83.0217158434224,42.6274929046631,9.195320554892664e-05,5.188954516915177,M83.021716T42.6275_2,Urea,Urea
